Device_Type,Region,Base_Lifespan,Current_Age_Years,Usage_Hours_Per_Day,Dust_Index,Humidity_Index,Temperature_Stress,Power_Outage_Freq,Maintenance_Frequency,Actual_Total_Lifespan,Remaining_Useful_Life,Is_Failed
Projector,Vidarbha/Marathwada,5,2.04,7.8,0.61,0.35,0.75,Medium,Rare,3.01,0.97,0
Smartphone,Pune/Nashik,4,2.72,5.5,0.48,0.58,0.69,Medium,Rare,3.07,0.35,0
Motherboard,Vidarbha/Marathwada,8,3.74,10.0,0.68,0.35,0.87,High,Rare,3.23,0.0,1
Projector,Vidarbha/Marathwada,5,1.42,4.4,0.92,0.33,0.99,High,Rare,3.47,2.05,0
Hard Disk / SSD,Vidarbha/Marathwada,5,1.22,7.4,0.74,0.45,0.98,Low,Rare,3.13,1.91,0
Router / Switch,Vidarbha/Marathwada,6,0.43,5.4,0.9,0.24,0.91,Medium,Rare,4.29,3.86,0
Computer,Vidarbha/Marathwada,6,1.78,9.1,0.82,0.26,0.72,Medium,Rare,3.05,1.27,0
Smartphone,Pune/Nashik,4,0.72,2.3,0.54,0.56,0.49,Medium,Biannual,4.64,3.92,0
Motherboard,Vidarbha/Marathwada,8,0.78,5.3,0.7,0.49,0.84,High,Annual,4.89,4.11,0
Hard Disk / SSD,Konkan/Mumbai,5,4.39,2.2,0.4,0.94,0.58,Medium,Biannual,5.31,0.92,0
Keyboard,Vidarbha/Marathwada,4,2.93,7.3,0.66,0.25,0.78,Medium,Rare,2.97,0.04,0
Keyboard,Konkan/Mumbai,4,1.24,4.7,0.52,0.71,0.67,Low,Rare,2.98,1.74,0
Mouse,Vidarbha/Marathwada,3,2.13,5.5,0.77,0.23,0.85,Medium,Rare,2.35,0.22,0
Hard Disk / SSD,Pune/Nashik,5,4.47,6.9,0.4,0.68,0.55,Medium,Biannual,4.16,0.0,1
Mouse,Konkan/Mumbai,3,0.84,8.6,0.47,0.74,0.74,High,Annual,2.08,1.24,0
Hard Disk / SSD,Vidarbha/Marathwada,5,0.68,2.2,0.63,0.4,0.72,Medium,Biannual,4.75,4.07,0
Keyboard,Konkan/Mumbai,4,5.11,3.4,0.49,0.96,0.72,High,Annual,4.16,0.0,1
Mouse,Konkan/Mumbai,3,1.26,7.4,0.38,0.87,0.76,Medium,Annual,2.34,1.08,0
Motherboard,Konkan/Mumbai,8,6.04,9.7,0.45,0.82,0.59,Low,Biannual,5.31,0.0,1
Mouse,Pune/Nashik,3,0.51,3.7,0.55,0.42,0.43,Medium,Biannual,3.5,2.99,0
Keyboard,Konkan/Mumbai,4,3.74,7.6,0.59,1.0,0.52,High,Biannual,3.47,0.0,1
Motherboard,Vidarbha/Marathwada,8,3.85,3.2,0.89,0.33,0.77,Medium,Annual,5.62,1.77,0
Motherboard,Konkan/Mumbai,8,2.83,2.7,0.54,0.98,0.8,High,Annual,5.67,2.84,0
Router / Switch,Pune/Nashik,6,4.51,3.0,0.43,0.55,0.4,Medium,Rare,5.04,0.53,0
Projector,Pune/Nashik,5,0.18,9.8,0.54,0.42,0.56,Medium,Annual,3.1,2.92,0
Keyboard,Pune/Nashik,4,3.32,3.7,0.68,0.48,0.61,Low,Rare,3.76,0.44,0
Monitor,Pune/Nashik,7,2.53,7.0,0.41,0.48,0.69,High,Rare,4.45,1.92,0
Router / Switch,Konkan/Mumbai,6,1.53,4.2,0.38,0.81,0.58,Medium,Rare,4.65,3.12,0
Monitor,Vidarbha/Marathwada,7,2.36,9.0,0.93,0.32,0.87,High,Annual,4.73,2.37,0
Smartphone,Vidarbha/Marathwada,4,0.14,8.6,0.77,0.5,0.81,High,Annual,2.69,2.55,0
Motherboard,Vidarbha/Marathwada,8,5.11,6.4,0.62,0.46,0.94,High,Annual,5.01,0.0,1
Motherboard,Vidarbha/Marathwada,8,0.7,7.4,0.76,0.24,0.99,Medium,Annual,5.17,4.47,0
Router / Switch,Konkan/Mumbai,6,0.73,6.5,0.46,0.93,0.66,High,Biannual,4.44,3.71,0
Computer,Pune/Nashik,6,2.28,9.8,0.64,0.59,0.64,High,Annual,3.11,0.83,0
Monitor,Pune/Nashik,7,3.39,6.2,0.62,0.56,0.54,High,Annual,6.37,2.98,0
Motherboard,Konkan/Mumbai,8,3.8,3.7,0.53,0.72,0.51,Medium,Annual,6.07,2.27,0
Computer,Pune/Nashik,6,6.29,5.3,0.58,0.52,0.61,Low,Biannual,5.46,0.0,1
Router / Switch,Pune/Nashik,6,2.21,3.0,0.41,0.45,0.48,Low,Rare,5.08,2.87,0
Router / Switch,Vidarbha/Marathwada,6,4.47,3.3,0.71,0.23,0.84,Medium,Rare,4.15,0.0,1
Printer,Vidarbha/Marathwada,5,0.31,8.1,0.81,0.5,0.86,High,Annual,3.99,3.68,0
Printer,Pune/Nashik,5,1.44,5.6,0.61,0.67,0.55,Medium,Annual,4.35,2.91,0
Keyboard,Konkan/Mumbai,4,2.6,4.7,0.47,0.95,0.53,Medium,Rare,3.01,0.41,0
Hard Disk / SSD,Pune/Nashik,5,2.73,5.0,0.58,0.62,0.57,Medium,Rare,3.49,0.76,0
Printer,Pune/Nashik,5,1.41,4.0,0.7,0.58,0.47,Low,Rare,3.94,2.53,0
Printer,Pune/Nashik,5,0.03,9.2,0.65,0.42,0.41,Medium,Annual,3.93,3.9,0
Smartphone,Vidarbha/Marathwada,4,4.42,5.8,0.77,0.42,0.95,High,Biannual,3.57,0.0,1
Mouse,Pune/Nashik,3,1.38,2.7,0.46,0.62,0.56,High,Annual,3.31,1.93,0
Monitor,Vidarbha/Marathwada,7,0.01,7.5,0.73,0.34,0.86,Medium,Rare,4.41,4.4,0
Projector,Pune/Nashik,5,4.27,8.0,0.54,0.58,0.64,Low,Rare,3.31,0.0,1
Hard Disk / SSD,Pune/Nashik,5,0.55,8.4,0.42,0.62,0.57,High,Rare,2.35,1.8,0
Keyboard,Pune/Nashik,4,1.56,8.5,0.6,0.56,0.51,High,Rare,2.38,0.82,0
Smartphone,Vidarbha/Marathwada,4,0.56,6.3,0.86,0.35,0.77,High,Biannual,3.79,3.23,0
Smartphone,Pune/Nashik,4,0.75,6.3,0.59,0.5,0.44,High,Biannual,3.92,3.17,0
Motherboard,Vidarbha/Marathwada,8,0.54,9.0,0.69,0.42,0.71,Medium,Rare,3.9,3.36,0
Mouse,Vidarbha/Marathwada,3,2.5,7.8,0.64,0.32,0.94,Low,Annual,2.6,0.1,0
Mouse,Konkan/Mumbai,3,0.52,5.2,0.38,0.8,0.55,High,Rare,2.4,1.88,0
Printer,Konkan/Mumbai,5,2.82,9.4,0.33,0.78,0.72,Medium,Annual,3.33,0.51,0
Motherboard,Pune/Nashik,8,4.49,5.6,0.58,0.53,0.62,High,Rare,4.35,0.0,1
Smartphone,Pune/Nashik,4,0.02,2.4,0.68,0.66,0.56,Medium,Rare,3.68,3.66,0
Projector,Pune/Nashik,5,1.75,7.9,0.52,0.56,0.68,Medium,Rare,2.86,1.11,0
Monitor,Konkan/Mumbai,7,4.16,6.6,0.35,0.85,0.63,High,Annual,5.27,1.11,0
Computer,Vidarbha/Marathwada,6,3.72,6.0,0.94,0.24,0.82,Low,Annual,3.96,0.24,0
Printer,Pune/Nashik,5,2.45,6.7,0.5,0.54,0.59,Medium,Rare,3.64,1.19,0
Smartphone,Vidarbha/Marathwada,4,2.11,9.6,0.74,0.37,0.75,Low,Rare,2.28,0.17,0
Motherboard,Pune/Nashik,8,3.46,4.0,0.69,0.65,0.66,Medium,Rare,4.81,1.35,0
Projector,Pune/Nashik,5,4.07,9.9,0.57,0.67,0.57,High,Annual,3.23,0.0,1
Mouse,Vidarbha/Marathwada,3,3.07,7.9,0.65,0.32,0.8,Low,Biannual,2.5,0.0,1
Hard Disk / SSD,Konkan/Mumbai,5,4.02,2.3,0.57,0.89,0.6,High,Biannual,4.19,0.17,0
Projector,Konkan/Mumbai,5,0.94,6.5,0.56,0.77,0.79,High,Biannual,4.17,3.23,0
Hard Disk / SSD,Pune/Nashik,5,3.39,7.2,0.55,0.62,0.61,Medium,Rare,2.76,0.0,1
Hard Disk / SSD,Pune/Nashik,5,3.08,2.5,0.6,0.65,0.56,High,Rare,3.28,0.2,0
Keyboard,Konkan/Mumbai,4,3.12,7.1,0.34,0.78,0.58,High,Rare,2.72,0.0,1
Keyboard,Konkan/Mumbai,4,1.06,6.8,0.46,0.71,0.55,High,Rare,2.67,1.61,0
Mouse,Vidarbha/Marathwada,3,1.82,3.1,0.85,0.38,0.98,Medium,Rare,2.38,0.56,0
Monitor,Pune/Nashik,7,2.52,5.8,0.65,0.65,0.69,Low,Rare,5.11,2.59,0
Printer,Konkan/Mumbai,5,4.32,2.0,0.44,0.72,0.52,Low,Rare,4.35,0.03,0
Motherboard,Vidarbha/Marathwada,8,4.5,8.1,0.88,0.41,0.86,Low,Annual,5.22,0.72,0
Smartphone,Vidarbha/Marathwada,4,3.22,2.4,0.92,0.39,0.91,Low,Annual,4.8,1.58,0
Smartphone,Konkan/Mumbai,4,0.28,5.4,0.39,0.74,0.72,Low,Annual,4.04,3.76,0
Monitor,Konkan/Mumbai,7,3.45,5.8,0.46,0.89,0.7,Medium,Biannual,6.82,3.37,0
Computer,Pune/Nashik,6,0.11,9.1,0.49,0.56,0.64,Medium,Annual,3.48,3.37,0
Router / Switch,Konkan/Mumbai,6,1.53,10.0,0.31,0.96,0.66,High,Rare,2.8,1.27,0
Keyboard,Vidarbha/Marathwada,4,2.01,6.2,0.8,0.28,0.82,Low,Annual,3.31,1.3,0
Printer,Konkan/Mumbai,5,0.64,2.4,0.56,0.91,0.68,Medium,Rare,4.17,3.53,0
Router / Switch,Vidarbha/Marathwada,6,4.87,5.7,0.88,0.23,0.83,High,Annual,3.91,0.0,1
Printer,Vidarbha/Marathwada,5,1.88,3.8,0.83,0.38,0.85,Medium,Rare,4.36,2.48,0
Keyboard,Konkan/Mumbai,4,0.73,5.2,0.59,0.97,0.78,High,Annual,3.72,2.99,0
Monitor,Konkan/Mumbai,7,2.71,5.7,0.49,0.92,0.51,High,Rare,4.69,1.98,0
Monitor,Vidarbha/Marathwada,7,4.08,4.3,0.9,0.21,0.8,High,Rare,4.86,0.78,0
Router / Switch,Konkan/Mumbai,6,4.4,6.0,0.32,0.77,0.7,Low,Rare,4.33,0.0,1
Printer,Konkan/Mumbai,5,1.57,4.0,0.46,0.96,0.72,Medium,Rare,3.69,2.12,0
Projector,Vidarbha/Marathwada,5,0.5,9.0,0.84,0.39,0.93,Low,Rare,2.86,2.36,0
Keyboard,Konkan/Mumbai,4,2.3,3.5,0.57,0.7,0.67,High,Rare,3.11,0.81,0
Printer,Pune/Nashik,5,2.34,2.1,0.51,0.4,0.65,Low,Rare,4.97,2.63,0
Keyboard,Vidarbha/Marathwada,4,0.24,8.2,0.88,0.25,0.93,High,Annual,3.06,2.82,0
Printer,Pune/Nashik,5,3.4,6.8,0.66,0.7,0.6,Medium,Rare,3.14,0.0,1
Monitor,Pune/Nashik,7,4.42,5.6,0.6,0.53,0.48,High,Rare,5.37,0.95,0
Mouse,Konkan/Mumbai,3,3.7,2.3,0.53,0.77,0.54,High,Annual,3.31,0.0,1
Mouse,Konkan/Mumbai,3,2.19,8.0,0.53,0.83,0.59,Medium,Rare,2.06,0.0,1
Hard Disk / SSD,Pune/Nashik,5,0.09,3.2,0.54,0.56,0.45,Medium,Rare,3.78,3.69,0
Keyboard,Konkan/Mumbai,4,1.76,7.5,0.48,0.94,0.64,Low,Rare,2.59,0.83,0
Smartphone,Konkan/Mumbai,4,4.34,5.7,0.4,0.88,0.63,High,Annual,3.45,0.0,1
Smartphone,Pune/Nashik,4,0.69,2.8,0.61,0.66,0.63,Low,Rare,3.86,3.17,0
Smartphone,Konkan/Mumbai,4,3.67,6.3,0.36,0.8,0.73,High,Biannual,3.45,0.0,1
Router / Switch,Konkan/Mumbai,6,0.88,2.3,0.4,0.99,0.56,Medium,Annual,6.07,5.19,0
Smartphone,Vidarbha/Marathwada,4,3.47,7.7,0.93,0.22,0.86,High,Biannual,3.26,0.0,1
Computer,Pune/Nashik,6,0.29,6.2,0.67,0.56,0.65,Medium,Annual,3.86,3.57,0
Computer,Vidarbha/Marathwada,6,0.58,9.0,0.77,0.38,0.8,Medium,Rare,2.58,2.0,0
Smartphone,Konkan/Mumbai,4,0.82,5.2,0.5,0.8,0.66,Medium,Rare,3.01,2.19,0
Computer,Vidarbha/Marathwada,6,4.67,5.0,0.9,0.42,0.92,Medium,Biannual,4.39,0.0,1
Projector,Konkan/Mumbai,5,1.2,4.2,0.52,0.85,0.76,High,Annual,4.69,3.49,0
Hard Disk / SSD,Vidarbha/Marathwada,5,4.43,3.9,0.86,0.24,0.91,High,Biannual,4.19,0.0,1
Projector,Konkan/Mumbai,5,2.31,2.8,0.33,0.82,0.68,Medium,Annual,4.78,2.47,0
Monitor,Vidarbha/Marathwada,7,2.86,3.9,0.6,0.38,0.88,Medium,Biannual,7.65,4.79,0
Router / Switch,Konkan/Mumbai,6,1.77,4.9,0.34,0.83,0.68,High,Rare,3.96,2.19,0
Keyboard,Vidarbha/Marathwada,4,2.14,2.9,0.9,0.44,0.88,High,Rare,3.02,0.88,0
Mouse,Konkan/Mumbai,3,2.95,6.1,0.31,0.74,0.64,High,Rare,1.99,0.0,1
Printer,Pune/Nashik,5,0.65,6.1,0.4,0.69,0.59,High,Rare,3.64,2.99,0
Mouse,Konkan/Mumbai,3,2.67,5.6,0.36,0.9,0.79,Low,Biannual,2.85,0.18,0
Computer,Pune/Nashik,6,3.14,6.6,0.68,0.6,0.55,Medium,Rare,3.56,0.42,0
Motherboard,Vidarbha/Marathwada,8,6.21,7.3,0.68,0.4,0.82,Medium,Biannual,5.35,0.0,1
Projector,Vidarbha/Marathwada,5,3.38,5.2,0.9,0.43,0.87,High,Rare,3.19,0.0,1
Hard Disk / SSD,Vidarbha/Marathwada,5,2.04,2.0,0.88,0.33,0.95,Low,Rare,4.15,2.11,0
Keyboard,Pune/Nashik,4,3.38,2.6,0.52,0.53,0.47,Medium,Annual,4.45,1.07,0
Projector,Pune/Nashik,5,1.17,2.9,0.56,0.69,0.65,High,Rare,3.75,2.58,0
Mouse,Pune/Nashik,3,0.21,8.6,0.52,0.56,0.62,High,Rare,1.97,1.76,0
Projector,Pune/Nashik,5,4.86,6.9,0.51,0.46,0.54,Low,Annual,4.23,0.0,1
Monitor,Konkan/Mumbai,7,4.03,3.4,0.48,0.91,0.58,Medium,Annual,6.67,2.64,0
Computer,Pune/Nashik,6,2.67,8.4,0.43,0.57,0.48,High,Annual,3.21,0.54,0
Computer,Konkan/Mumbai,6,2.22,5.3,0.55,0.97,0.57,Medium,Biannual,5.27,3.05,0
Router / Switch,Pune/Nashik,6,3.85,2.8,0.63,0.48,0.65,Medium,Annual,5.57,1.72,0
Motherboard,Pune/Nashik,8,1.74,3.8,0.66,0.54,0.56,Low,Rare,5.78,4.04,0
Projector,Konkan/Mumbai,5,1.68,5.6,0.34,0.78,0.68,Medium,Annual,3.92,2.24,0
Monitor,Konkan/Mumbai,7,1.95,6.8,0.4,0.97,0.73,Medium,Rare,4.68,2.73,0
Computer,Vidarbha/Marathwada,6,1.48,9.0,0.78,0.22,0.94,Medium,Annual,3.57,2.09,0
Monitor,Konkan/Mumbai,7,5.86,5.7,0.5,1.0,0.7,Medium,Rare,5.12,0.0,1
Projector,Pune/Nashik,5,1.18,7.3,0.56,0.43,0.54,High,Annual,4.02,2.84,0
Monitor,Konkan/Mumbai,7,0.74,7.0,0.6,0.98,0.66,High,Rare,4.8,4.06,0
Smartphone,Konkan/Mumbai,4,3.42,4.8,0.32,0.74,0.57,Medium,Rare,3.15,0.0,1
Computer,Konkan/Mumbai,6,0.48,8.8,0.48,0.85,0.78,Medium,Rare,3.16,2.68,0
Hard Disk / SSD,Vidarbha/Marathwada,5,0.68,4.4,0.73,0.46,0.96,High,Rare,2.9,2.22,0
Hard Disk / SSD,Pune/Nashik,5,2.54,8.9,0.5,0.69,0.59,High,Biannual,3.19,0.65,0
Smartphone,Konkan/Mumbai,4,4.17,2.5,0.35,0.85,0.62,Low,Rare,3.33,0.0,1
Mouse,Konkan/Mumbai,3,0.65,4.9,0.38,0.96,0.5,Low,Rare,2.39,1.74,0
Projector,Konkan/Mumbai,5,1.35,3.4,0.45,0.93,0.69,Medium,Rare,4.08,2.73,0
Computer,Vidarbha/Marathwada,6,0.66,7.0,0.78,0.5,0.94,Medium,Annual,4.02,3.36,0
Mouse,Pune/Nashik,3,1.32,7.9,0.53,0.46,0.51,Medium,Annual,2.16,0.84,0
Keyboard,Konkan/Mumbai,4,1.07,4.6,0.54,0.87,0.7,Low,Biannual,4.37,3.3,0
Keyboard,Vidarbha/Marathwada,4,3.48,4.1,0.61,0.31,0.78,Medium,Rare,3.02,0.0,1
Hard Disk / SSD,Pune/Nashik,5,2.43,9.6,0.51,0.52,0.54,High,Annual,2.53,0.1,0
Motherboard,Konkan/Mumbai,8,4.36,5.1,0.58,0.78,0.73,High,Rare,3.9,0.0,1
Computer,Vidarbha/Marathwada,6,0.42,2.7,0.65,0.42,0.85,Medium,Annual,4.96,4.54,0
Printer,Vidarbha/Marathwada,5,0.81,8.2,0.93,0.42,0.81,Medium,Annual,3.65,2.84,0
Keyboard,Vidarbha/Marathwada,4,2.21,9.7,0.83,0.43,0.78,Low,Rare,2.53,0.32,0
Hard Disk / SSD,Pune/Nashik,5,3.23,6.2,0.46,0.44,0.58,High,Rare,3.04,0.0,1
Printer,Konkan/Mumbai,5,1.21,3.0,0.48,0.87,0.72,High,Rare,4.4,3.19,0
Projector,Pune/Nashik,5,3.71,7.4,0.57,0.52,0.45,Medium,Rare,2.74,0.0,1
Router / Switch,Konkan/Mumbai,6,4.95,5.7,0.56,0.95,0.78,Medium,Biannual,5.37,0.42,0
Smartphone,Konkan/Mumbai,4,2.21,7.8,0.6,0.98,0.51,Low,Biannual,3.37,1.16,0
Printer,Vidarbha/Marathwada,5,4.68,3.2,0.74,0.43,0.92,Medium,Rare,4.33,0.0,1
Keyboard,Pune/Nashik,4,2.84,4.2,0.45,0.57,0.64,High,Rare,3.32,0.48,0
Projector,Konkan/Mumbai,5,4.42,6.3,0.52,0.94,0.68,Medium,Annual,4.26,0.0,1
Motherboard,Konkan/Mumbai,8,3.06,4.4,0.36,0.99,0.61,Medium,Biannual,7.31,4.25,0
Mouse,Konkan/Mumbai,3,3.26,2.0,0.57,0.88,0.62,Medium,Annual,3.1,0.0,1
Mouse,Vidarbha/Marathwada,3,2.52,6.5,0.81,0.34,0.89,Low,Annual,2.73,0.21,0
Hard Disk / SSD,Pune/Nashik,5,4.61,4.7,0.48,0.65,0.55,Low,Annual,4.85,0.24,0
Monitor,Vidarbha/Marathwada,7,7.37,6.8,0.65,0.3,0.83,Low,Annual,6.9,0.0,1
Motherboard,Vidarbha/Marathwada,8,1.22,8.0,0.82,0.35,0.75,Medium,Annual,4.99,3.77,0
Mouse,Vidarbha/Marathwada,3,0.21,7.6,0.94,0.25,0.91,Medium,Biannual,2.8,2.59,0
Monitor,Konkan/Mumbai,7,0.31,9.5,0.37,0.81,0.64,Medium,Annual,5.16,4.85,0
Computer,Konkan/Mumbai,6,2.87,3.1,0.57,0.93,0.5,Low,Rare,5.07,2.2,0
Keyboard,Konkan/Mumbai,4,1.86,8.3,0.38,0.71,0.51,Medium,Biannual,3.34,1.48,0
Projector,Vidarbha/Marathwada,5,3.22,6.5,0.69,0.25,0.96,Low,Rare,3.17,0.0,1
Smartphone,Pune/Nashik,4,3.38,5.1,0.47,0.62,0.56,Low,Biannual,4.41,1.03,0
Keyboard,Konkan/Mumbai,4,1.05,4.5,0.59,0.74,0.72,Low,Biannual,4.74,3.69,0
Motherboard,Konkan/Mumbai,8,2.38,9.8,0.52,0.83,0.53,Medium,Rare,3.38,1.0,0
Computer,Konkan/Mumbai,6,0.53,3.1,0.46,0.88,0.57,High,Annual,4.4,3.87,0
Monitor,Vidarbha/Marathwada,7,2.07,9.8,0.86,0.29,0.94,Low,Annual,5.09,3.02,0
Keyboard,Konkan/Mumbai,4,1.8,9.0,0.4,0.93,0.66,Medium,Biannual,3.0,1.2,0
Router / Switch,Konkan/Mumbai,6,2.72,5.1,0.47,0.87,0.53,Medium,Annual,5.02,2.3,0
Hard Disk / SSD,Pune/Nashik,5,3.5,8.3,0.63,0.69,0.46,Medium,Annual,3.39,0.0,1
Printer,Konkan/Mumbai,5,0.59,9.2,0.35,0.91,0.74,Medium,Rare,3.22,2.63,0
Motherboard,Pune/Nashik,8,4.98,6.9,0.46,0.67,0.6,Low,Rare,5.2,0.22,0
Computer,Vidarbha/Marathwada,6,0.05,9.1,0.75,0.5,0.9,Medium,Rare,2.79,2.74,0
Projector,Pune/Nashik,5,3.52,3.5,0.56,0.62,0.67,Low,Biannual,5.51,1.99,0
Monitor,Vidarbha/Marathwada,7,3.61,8.6,0.76,0.45,0.84,Medium,Rare,4.07,0.46,0
Printer,Konkan/Mumbai,5,1.79,8.0,0.33,0.77,0.54,Medium,Annual,4.08,2.29,0
Keyboard,Pune/Nashik,4,0.7,4.5,0.65,0.48,0.41,High,Rare,3.21,2.51,0
Mouse,Vidarbha/Marathwada,3,0.96,4.4,0.89,0.28,0.89,Medium,Rare,2.15,1.19,0
Mouse,Konkan/Mumbai,3,0.59,7.2,0.57,0.77,0.74,Low,Biannual,2.47,1.88,0
Hard Disk / SSD,Konkan/Mumbai,5,2.94,2.9,0.44,0.96,0.66,Medium,Rare,2.97,0.03,0
Router / Switch,Konkan/Mumbai,6,3.07,8.4,0.38,0.96,0.59,High,Rare,3.22,0.15,0
Computer,Vidarbha/Marathwada,6,2.04,2.8,0.7,0.46,0.73,High,Rare,3.35,1.31,0
Projector,Konkan/Mumbai,5,2.81,9.2,0.48,0.79,0.59,High,Biannual,3.73,0.92,0
Projector,Pune/Nashik,5,3.66,4.1,0.59,0.56,0.65,Medium,Annual,4.55,0.89,0
Mouse,Vidarbha/Marathwada,3,1.79,8.6,0.81,0.23,0.73,High,Biannual,2.45,0.66,0
Printer,Konkan/Mumbai,5,3.62,6.9,0.43,0.93,0.68,High,Annual,4.15,0.53,0
Mouse,Pune/Nashik,3,1.65,9.6,0.55,0.43,0.52,Medium,Annual,2.25,0.6,0
Computer,Konkan/Mumbai,6,2.0,3.1,0.32,0.78,0.61,Medium,Rare,5.03,3.03,0
Motherboard,Pune/Nashik,8,0.23,2.0,0.46,0.58,0.48,Medium,Rare,5.34,5.11,0
Motherboard,Konkan/Mumbai,8,6.19,4.2,0.44,0.83,0.57,Medium,Biannual,6.57,0.38,0
Keyboard,Pune/Nashik,4,1.85,5.6,0.66,0.57,0.41,Medium,Biannual,3.75,1.9,0
Monitor,Vidarbha/Marathwada,7,0.27,8.6,0.85,0.38,0.79,High,Rare,4.27,4.0,0
Computer,Vidarbha/Marathwada,6,3.46,5.0,0.81,0.41,0.73,Medium,Rare,3.61,0.15,0
Motherboard,Konkan/Mumbai,8,0.75,9.1,0.4,0.92,0.62,Medium,Annual,4.43,3.68,0
Projector,Vidarbha/Marathwada,5,3.4,8.6,0.65,0.25,0.89,High,Biannual,3.89,0.49,0
Monitor,Pune/Nashik,7,6.85,4.7,0.55,0.57,0.41,Low,Annual,7.1,0.25,0
Smartphone,Pune/Nashik,4,4.17,5.6,0.53,0.6,0.48,Medium,Annual,3.86,0.0,1
Projector,Pune/Nashik,5,0.9,5.1,0.43,0.67,0.4,Medium,Annual,4.45,3.55,0
Computer,Vidarbha/Marathwada,6,1.71,7.1,0.91,0.3,0.75,Low,Rare,3.17,1.46,0
Motherboard,Vidarbha/Marathwada,8,2.83,5.6,0.84,0.38,0.81,Medium,Annual,4.83,2.0,0
Printer,Pune/Nashik,5,0.68,5.3,0.56,0.44,0.43,Medium,Rare,3.63,2.95,0
Keyboard,Konkan/Mumbai,4,0.44,5.6,0.34,0.95,0.61,Medium,Biannual,4.0,3.56,0
Mouse,Vidarbha/Marathwada,3,1.72,6.3,0.73,0.3,0.86,Low,Annual,2.9,1.18,0
Router / Switch,Konkan/Mumbai,6,2.8,9.7,0.38,0.76,0.52,Medium,Annual,3.82,1.02,0
Printer,Vidarbha/Marathwada,5,2.92,9.0,0.76,0.39,0.85,Medium,Annual,3.7,0.78,0
Keyboard,Pune/Nashik,4,2.29,9.7,0.52,0.41,0.54,Medium,Biannual,3.29,1.0,0
Smartphone,Vidarbha/Marathwada,4,2.97,2.3,0.86,0.36,0.72,Medium,Biannual,4.8,1.83,0
Mouse,Konkan/Mumbai,3,2.17,5.1,0.48,0.81,0.59,Medium,Annual,2.76,0.59,0
Monitor,Vidarbha/Marathwada,7,3.94,9.6,0.94,0.32,0.95,High,Rare,3.61,0.0,1
Motherboard,Vidarbha/Marathwada,8,0.12,6.1,0.9,0.47,0.72,High,Annual,5.09,4.97,0
Smartphone,Vidarbha/Marathwada,4,1.91,8.6,0.61,0.46,0.86,Medium,Rare,2.62,0.71,0
Monitor,Pune/Nashik,7,0.04,4.7,0.46,0.7,0.43,Low,Annual,6.38,6.34,0
Printer,Vidarbha/Marathwada,5,3.66,5.2,0.89,0.44,0.97,High,Annual,4.33,0.67,0
Smartphone,Pune/Nashik,4,0.29,9.6,0.5,0.43,0.64,High,Annual,2.71,2.42,0
