device_type,manufacturer,region,manufacturing_year,base_lifespan_yrs,current_age_yrs,daily_usage_hrs,temperature,environment,power_quality,maintenance,software_load,remaining_life_yrs,failed
Hard Disk / SSD,Samsung,Konkan/Mumbai,2019,5,5.89,1.9,Hot,Normal,Direct Grid,Occasional,Light,0.0,1
Computer,HP,Konkan/Mumbai,2022,6,2.98,12.1,Cool,Normal,Direct Grid,Regular,Heavy,2.11,0
Printer,HP,Konkan/Mumbai,2020,5,4.81,5.0,Cool,Normal,Frequent Outages,None,Office,0.0,1
Camera,Nikon,Pune/Nashik,2018,5,6.92,11.9,Cool,Clean,Direct Grid,Regular,Light,0.0,1
Television,LG,Pune/Nashik,2021,8,4.34,10.8,Hot,Clean,Direct Grid,Occasional,Light,2.91,0
Washing Machine,LG,Vidarbha/Marathwada,2019,10,5.92,8.6,Hot,Clean,Direct Grid,Regular,Office,2.48,0
Monitor,LG,Vidarbha/Marathwada,2022,7,3.3,1.8,Hot,Harsh,Direct Grid,Occasional,Office,3.16,0
Battery,Amaron,Pune/Nashik,2021,3,4.25,8.6,Normal,Normal,Frequent Outages,Occasional,Heavy,0.0,1
Battery,Luminous,Konkan/Mumbai,2023,3,1.69,3.3,Normal,Clean,UPS Protected,None,Office,1.05,0
Keyboard,Logitech,Konkan/Mumbai,2021,4,3.8,10.1,Normal,Normal,Direct Grid,Regular,Light,0.0,1
Washing Machine,IFB,Konkan/Mumbai,2015,10,10.4,11.2,Normal,Harsh,Frequent Outages,Occasional,Heavy,0.0,1
Motherboard,MSI,Pune/Nashik,2017,8,7.5,10.5,Normal,Normal,Frequent Outages,None,Light,0.0,1
Router / Switch,TP-Link,Vidarbha/Marathwada,2022,6,3.29,13.7,Cool,Harsh,Direct Grid,None,Office,2.23,0
Television,Samsung,Vidarbha/Marathwada,2024,8,1.09,1.6,Hot,Harsh,Frequent Outages,Regular,Office,6.73,0
Hard Disk / SSD,Crucial,Pune/Nashik,2021,5,4.35,4.0,Normal,Harsh,Direct Grid,None,Light,0.34,0
Router / Switch,TP-Link,Pune/Nashik,2018,6,6.82,4.1,Normal,Clean,Direct Grid,None,Office,0.0,1
Motherboard,Intel,Pune/Nashik,2024,8,0.85,3.4,Cool,Normal,UPS Protected,Regular,Heavy,7.11,0
Router / Switch,Cisco,Konkan/Mumbai,2019,6,5.61,14.0,Hot,Clean,UPS Protected,Regular,Office,0.0,1
Smartwatch,Samsung,Konkan/Mumbai,2025,3,0.09,3.6,Hot,Normal,UPS Protected,Occasional,Light,2.91,0
Refrigerator,Whirlpool,Pune/Nashik,2022,12,3.29,12.7,Normal,Harsh,Direct Grid,Occasional,Light,7.43,0
Printer,Brother,Pune/Nashik,2023,5,2.26,4.1,Normal,Normal,Direct Grid,Occasional,Light,2.22,0
Printer,Brother,Vidarbha/Marathwada,2020,5,4.72,13.9,Hot,Harsh,Frequent Outages,Occasional,Office,0.0,1
Mouse,HP,Pune/Nashik,2022,3,2.56,13.4,Normal,Clean,Direct Grid,Regular,Office,0.0,1
Smartphone,Samsung,Pune/Nashik,2023,4,1.88,7.7,Cool,Clean,UPS Protected,Regular,Office,1.76,0
Refrigerator,Godrej,Vidarbha/Marathwada,2019,12,5.83,6.1,Normal,Clean,Frequent Outages,Regular,Light,4.59,0
Mouse,Logitech,Konkan/Mumbai,2021,3,4.21,11.1,Cool,Normal,Direct Grid,Occasional,Office,0.0,1
Battery,Exide,Vidarbha/Marathwada,2025,3,0.24,13.1,Normal,Normal,Frequent Outages,Regular,Light,2.59,0
Battery,Luminous,Vidarbha/Marathwada,2024,3,0.55,1.4,Cool,Clean,Frequent Outages,Regular,Light,2.45,0
Smartphone,Apple,Vidarbha/Marathwada,2024,4,0.98,9.0,Hot,Normal,Frequent Outages,Regular,Heavy,2.79,0
Refrigerator,Godrej,Vidarbha/Marathwada,2021,12,4.46,11.6,Hot,Normal,Direct Grid,None,Office,6.96,0
Keyboard,Logitech,Konkan/Mumbai,2025,4,0.11,5.5,Normal,Normal,UPS Protected,Regular,Light,3.78,0
Television,Mi,Pune/Nashik,2018,8,6.93,2.9,Normal,Clean,Frequent Outages,Occasional,Light,0.0,1
Microwave,Bajaj,Konkan/Mumbai,2016,8,8.97,2.6,Hot,Clean,UPS Protected,None,Office,0.0,1
Projector,ViewSonic,Vidarbha/Marathwada,2025,5,0.13,11.9,Normal,Clean,Direct Grid,Regular,Office,4.87,0
Air Conditioner,Voltas,Vidarbha/Marathwada,2016,10,8.71,9.8,Hot,Normal,Direct Grid,Occasional,Office,0.0,1
Mouse,Zebronics,Pune/Nashik,2025,3,0.47,6.3,Normal,Normal,UPS Protected,None,Office,2.53,0
Refrigerator,Whirlpool,Konkan/Mumbai,2012,12,12.78,12.2,Normal,Clean,Frequent Outages,Regular,Light,0.0,1
Printer,Canon,Pune/Nashik,2021,5,3.99,11.2,Hot,Clean,Direct Grid,Occasional,Office,0.07,0
Microwave,Bajaj,Pune/Nashik,2015,8,9.79,1.3,Hot,Normal,UPS Protected,Regular,Office,0.0,1
Smartwatch,Noise,Pune/Nashik,2020,3,4.68,8.8,Normal,Clean,Direct Grid,Occasional,Office,0.0,1
Battery,Exide,Vidarbha/Marathwada,2020,3,4.77,5.4,Normal,Normal,UPS Protected,Regular,Office,0.0,1
Monitor,Dell,Konkan/Mumbai,2023,7,2.33,7.1,Hot,Clean,UPS Protected,Regular,Office,3.94,0
Camera,Canon,Konkan/Mumbai,2020,5,5.35,4.8,Hot,Normal,Direct Grid,Regular,Light,0.0,1
Camera,Logitech,Vidarbha/Marathwada,2024,5,0.68,8.2,Hot,Harsh,UPS Protected,Regular,Light,4.32,0
Refrigerator,Whirlpool,Konkan/Mumbai,2015,12,10.29,8.6,Normal,Clean,UPS Protected,Regular,Heavy,0.0,1
Battery,Amaron,Pune/Nashik,2025,3,0.5,12.6,Normal,Normal,UPS Protected,None,Light,2.27,0
Projector,Epson,Pune/Nashik,2019,5,6.12,12.1,Cool,Normal,Direct Grid,Regular,Office,0.0,1
Hard Disk / SSD,Samsung,Pune/Nashik,2022,5,3.43,7.7,Cool,Clean,Frequent Outages,None,Office,1.13,0
Keyboard,Dell,Konkan/Mumbai,2024,4,0.98,13.4,Normal,Clean,UPS Protected,None,Office,2.85,0
Refrigerator,LG,Vidarbha/Marathwada,2019,12,5.61,7.0,Cool,Clean,Frequent Outages,Occasional,Office,5.77,0
Keyboard,HP,Vidarbha/Marathwada,2023,4,2.05,13.0,Hot,Harsh,Frequent Outages,Occasional,Light,1.1,0
Washing Machine,Samsung,Vidarbha/Marathwada,2017,10,7.67,6.7,Hot,Harsh,Frequent Outages,Regular,Heavy,0.0,1
Smartwatch,Noise,Pune/Nashik,2023,3,1.96,9.2,Cool,Clean,Direct Grid,Regular,Light,1.03,0
Television,LG,Konkan/Mumbai,2023,8,1.77,5.5,Normal,Normal,Direct Grid,Occasional,Heavy,6.1,0
Microwave,Bajaj,Pune/Nashik,2018,8,6.6,7.9,Cool,Normal,Frequent Outages,Occasional,Heavy,0.12,0
Printer,Brother,Pune/Nashik,2022,5,2.94,12.8,Normal,Normal,Direct Grid,Occasional,Office,1.58,0
Printer,Canon,Konkan/Mumbai,2020,5,4.64,9.5,Normal,Normal,UPS Protected,Regular,Office,0.0,1
Battery,Amaron,Pune/Nashik,2024,3,0.69,4.6,Normal,Harsh,UPS Protected,Occasional,Light,2.14,0
Monitor,LG,Pune/Nashik,2023,7,2.3,8.9,Hot,Clean,Direct Grid,Occasional,Heavy,4.24,0
Computer,HP,Pune/Nashik,2021,6,3.55,8.9,Normal,Normal,UPS Protected,Occasional,Heavy,2.25,0
Refrigerator,Godrej,Pune/Nashik,2012,12,12.78,4.2,Normal,Normal,Direct Grid,Occasional,Light,0.0,1
Printer,Brother,Pune/Nashik,2020,5,4.51,4.1,Normal,Normal,Direct Grid,Occasional,Office,0.0,1
Refrigerator,Samsung,Vidarbha/Marathwada,2025,12,0.11,3.2,Hot,Normal,Direct Grid,None,Heavy,11.3,0
Router / Switch,Netgear,Vidarbha/Marathwada,2024,6,1.23,3.5,Normal,Harsh,UPS Protected,Occasional,Heavy,4.54,0
Smartwatch,Apple,Konkan/Mumbai,2021,3,4.42,4.5,Hot,Harsh,UPS Protected,Regular,Office,0.0,1
Router / Switch,TP-Link,Pune/Nashik,2017,6,7.94,9.5,Cool,Normal,Direct Grid,Occasional,Office,0.0,1
Smartwatch,Samsung,Konkan/Mumbai,2025,3,0.26,6.5,Cool,Normal,Frequent Outages,Occasional,Office,2.74,0
Camera,Nikon,Vidarbha/Marathwada,2022,5,3.44,11.4,Hot,Harsh,Direct Grid,Occasional,Office,1.1,0
Camera,Nikon,Vidarbha/Marathwada,2025,5,0.0,1.7,Hot,Clean,UPS Protected,Occasional,Light,5.0,0
Battery,Generic,Vidarbha/Marathwada,2022,3,2.69,11.7,Hot,Harsh,UPS Protected,Regular,Heavy,0.0,1
Laptop,Dell,Vidarbha/Marathwada,2022,5,3.25,10.8,Normal,Harsh,Direct Grid,None,Office,1.03,0
Projector,Epson,Konkan/Mumbai,2022,5,2.79,11.7,Hot,Clean,UPS Protected,Regular,Light,2.21,0
Monitor,Acer,Vidarbha/Marathwada,2023,7,1.73,12.3,Hot,Normal,Direct Grid,None,Heavy,4.21,0
Router / Switch,Cisco,Pune/Nashik,2025,6,0.4,1.3,Normal,Normal,Direct Grid,None,Office,5.6,0
Mouse,Dell,Konkan/Mumbai,2024,3,1.35,6.0,Normal,Normal,Direct Grid,None,Office,1.46,0
Monitor,LG,Konkan/Mumbai,2023,7,1.55,9.4,Normal,Clean,UPS Protected,Regular,Heavy,5.45,0
Hard Disk / SSD,Seagate,Konkan/Mumbai,2020,5,4.76,3.5,Normal,Harsh,UPS Protected,Regular,Office,0.0,1
Battery,Exide,Konkan/Mumbai,2025,3,0.28,5.7,Normal,Clean,UPS Protected,None,Light,2.71,0
Monitor,LG,Vidarbha/Marathwada,2024,7,1.04,2.4,Hot,Normal,Frequent Outages,None,Light,5.83,0
Projector,Epson,Vidarbha/Marathwada,2023,5,2.27,6.2,Hot,Harsh,Direct Grid,None,Light,2.59,0
Battery,Exide,Konkan/Mumbai,2023,3,1.9,13.6,Hot,Clean,Frequent Outages,Occasional,Office,0.61,0
Smartwatch,Noise,Konkan/Mumbai,2023,3,2.04,5.7,Normal,Clean,UPS Protected,None,Office,0.71,0
Smartphone,Vivo,Konkan/Mumbai,2022,4,2.77,8.4,Hot,Harsh,UPS Protected,Occasional,Office,0.79,0
Printer,Epson,Konkan/Mumbai,2023,5,1.5,6.1,Normal,Normal,UPS Protected,Regular,Office,3.45,0
Printer,Brother,Pune/Nashik,2018,5,6.62,1.7,Cool,Normal,Frequent Outages,Occasional,Office,0.0,1
Computer,Assembled,Pune/Nashik,2018,6,6.82,10.7,Cool,Clean,Direct Grid,Occasional,Light,0.0,1
Air Conditioner,LG,Konkan/Mumbai,2022,10,3.24,8.3,Cool,Harsh,UPS Protected,None,Office,5.7,0
Router / Switch,Netgear,Vidarbha/Marathwada,2018,6,7.03,8.7,Hot,Harsh,Frequent Outages,None,Light,0.0,1
Motherboard,Asus,Vidarbha/Marathwada,2021,8,3.7,6.5,Hot,Normal,Direct Grid,None,Office,3.5,0
Smartphone,Samsung,Pune/Nashik,2022,4,2.78,7.8,Hot,Clean,UPS Protected,None,Light,0.99,0
Smartwatch,Noise,Vidarbha/Marathwada,2024,3,1.07,7.8,Hot,Normal,Direct Grid,Regular,Office,1.58,0
Hard Disk / SSD,Seagate,Konkan/Mumbai,2020,5,4.56,2.0,Cool,Harsh,UPS Protected,None,Heavy,0.12,0
Printer,Brother,Konkan/Mumbai,2025,5,0.28,13.5,Normal,Normal,UPS Protected,Occasional,Heavy,4.65,0
Hard Disk / SSD,WD,Konkan/Mumbai,2024,5,1.09,11.9,Cool,Harsh,Direct Grid,Regular,Light,3.77,0
Washing Machine,LG,Pune/Nashik,2023,10,2.27,5.0,Normal,Clean,Direct Grid,Regular,Heavy,7.12,0
Monitor,Acer,Vidarbha/Marathwada,2024,7,1.14,13.3,Hot,Harsh,Frequent Outages,None,Heavy,5.21,0
Computer,HP,Konkan/Mumbai,2022,6,3.09,6.9,Normal,Harsh,Frequent Outages,Occasional,Office,2.17,0
Monitor,LG,Vidarbha/Marathwada,2024,7,1.42,1.5,Cool,Harsh,Direct Grid,None,Office,5.12,0
Computer,HP,Pune/Nashik,2024,6,1.23,1.6,Cool,Normal,Frequent Outages,None,Light,4.29,0
Smartphone,Xiaomi,Vidarbha/Marathwada,2020,4,5.18,9.0,Hot,Normal,Direct Grid,Regular,Heavy,0.0,1
Hard Disk / SSD,Seagate,Konkan/Mumbai,2021,5,3.78,11.0,Cool,Clean,UPS Protected,None,Office,0.56,0
Air Conditioner,LG,Vidarbha/Marathwada,2023,10,2.25,13.2,Hot,Normal,Direct Grid,Occasional,Light,6.38,0
Television,Sony,Konkan/Mumbai,2021,8,4.22,7.2,Normal,Normal,UPS Protected,None,Office,2.77,0
Microwave,IFB,Vidarbha/Marathwada,2024,8,0.6,7.2,Hot,Clean,Frequent Outages,Occasional,Heavy,7.38,0
Keyboard,HP,Konkan/Mumbai,2021,4,3.98,5.5,Hot,Normal,Direct Grid,None,Office,0.0,1
Washing Machine,IFB,Pune/Nashik,2016,10,8.94,3.8,Normal,Normal,Direct Grid,Occasional,Office,0.0,1
Projector,BenQ,Vidarbha/Marathwada,2024,5,1.08,13.4,Hot,Harsh,Frequent Outages,Regular,Light,3.17,0
Projector,BenQ,Vidarbha/Marathwada,2024,5,1.03,7.2,Hot,Harsh,Frequent Outages,Regular,Office,3.42,0
Hard Disk / SSD,Seagate,Vidarbha/Marathwada,2020,5,5.24,11.2,Normal,Normal,Frequent Outages,Regular,Office,0.0,1
Monitor,Samsung,Konkan/Mumbai,2018,7,6.77,4.1,Normal,Normal,UPS Protected,Occasional,Office,0.0,1
Smartwatch,Samsung,Vidarbha/Marathwada,2020,3,4.65,10.9,Normal,Normal,Direct Grid,Occasional,Light,0.0,1
Air Conditioner,Blue Star,Vidarbha/Marathwada,2024,10,0.97,7.0,Hot,Harsh,Frequent Outages,None,Office,7.59,0
Battery,Luminous,Konkan/Mumbai,2024,3,1.13,2.4,Normal,Normal,Direct Grid,Occasional,Heavy,1.86,0
Computer,Assembled,Pune/Nashik,2017,6,7.51,8.9,Hot,Harsh,UPS Protected,Occasional,Light,0.0,1
Refrigerator,Godrej,Konkan/Mumbai,2013,12,11.68,6.2,Normal,Clean,UPS Protected,Regular,Heavy,0.0,1
Television,Samsung,Pune/Nashik,2023,8,2.35,11.6,Hot,Clean,Frequent Outages,Regular,Office,4.77,0
Monitor,LG,Pune/Nashik,2022,7,3.4,11.0,Cool,Normal,Direct Grid,Regular,Office,3.51,0
Smartwatch,Samsung,Pune/Nashik,2025,3,0.45,11.5,Normal,Harsh,UPS Protected,Regular,Office,2.41,0
Laptop,Lenovo,Pune/Nashik,2021,5,4.5,12.2,Normal,Clean,UPS Protected,Occasional,Office,0.0,1
Smartphone,OnePlus,Vidarbha/Marathwada,2022,4,2.81,2.3,Normal,Harsh,Direct Grid,Occasional,Office,0.64,0
Projector,Epson,Vidarbha/Marathwada,2023,5,1.92,4.5,Hot,Normal,Frequent Outages,None,Heavy,2.36,0
Mouse,Logitech,Vidarbha/Marathwada,2022,3,3.2,3.1,Normal,Normal,Frequent Outages,Occasional,Light,0.0,1
Washing Machine,LG,Vidarbha/Marathwada,2021,10,3.67,12.3,Hot,Harsh,Frequent Outages,Regular,Light,5.23,0
Hard Disk / SSD,Crucial,Konkan/Mumbai,2020,5,5.21,7.9,Hot,Harsh,Direct Grid,Occasional,Heavy,0.0,1
Smartphone,Samsung,Pune/Nashik,2023,4,2.37,8.6,Cool,Clean,UPS Protected,Occasional,Office,1.57,0
Refrigerator,Godrej,Pune/Nashik,2015,12,10.11,13.5,Normal,Normal,Direct Grid,Regular,Office,0.81,0
Keyboard,Logitech,Pune/Nashik,2020,4,5.25,6.4,Normal,Normal,Direct Grid,None,Light,0.0,1
Motherboard,Intel,Konkan/Mumbai,2018,8,6.58,8.9,Hot,Harsh,UPS Protected,None,Light,0.61,0
Projector,Sony,Vidarbha/Marathwada,2019,5,6.06,5.5,Normal,Harsh,Direct Grid,Occasional,Light,0.0,1
Smartwatch,Apple,Konkan/Mumbai,2024,3,1.08,12.5,Cool,Normal,UPS Protected,None,Office,1.74,0
Washing Machine,Samsung,Pune/Nashik,2016,10,8.93,9.3,Cool,Clean,UPS Protected,None,Office,0.07,0
Computer,Lenovo,Vidarbha/Marathwada,2024,6,1.13,8.5,Hot,Normal,Frequent Outages,None,Light,4.84,0
Router / Switch,TP-Link,Pune/Nashik,2024,6,0.57,2.6,Hot,Clean,UPS Protected,Regular,Light,5.43,0
Computer,Dell,Vidarbha/Marathwada,2021,6,4.18,9.3,Hot,Normal,Frequent Outages,Occasional,Heavy,1.01,0
Smartphone,Apple,Konkan/Mumbai,2024,4,1.48,3.0,Normal,Normal,UPS Protected,None,Light,2.52,0
Microwave,Samsung,Pune/Nashik,2016,8,9.1,10.0,Hot,Clean,Direct Grid,Occasional,Light,0.0,1
Microwave,Bajaj,Konkan/Mumbai,2018,8,6.94,2.8,Normal,Normal,Direct Grid,Occasional,Office,0.46,0
Hard Disk / SSD,Samsung,Konkan/Mumbai,2023,5,1.66,10.7,Normal,Normal,UPS Protected,Regular,Office,3.34,0
Computer,Lenovo,Konkan/Mumbai,2021,6,4.23,7.4,Hot,Normal,Direct Grid,Occasional,Heavy,1.07,0
Refrigerator,Whirlpool,Vidarbha/Marathwada,2019,12,6.31,13.5,Hot,Normal,Frequent Outages,Occasional,Office,3.4,0
Computer,Lenovo,Vidarbha/Marathwada,2020,6,4.56,1.4,Cool,Clean,Direct Grid,None,Office,0.72,0
Smartphone,OnePlus,Pune/Nashik,2020,4,5.43,4.0,Normal,Clean,Direct Grid,Occasional,Office,0.0,1
Monitor,Dell,Pune/Nashik,2020,7,5.24,4.4,Hot,Harsh,UPS Protected,Regular,Light,1.49,0
Laptop,Apple,Vidarbha/Marathwada,2023,5,2.12,11.8,Hot,Harsh,Frequent Outages,Regular,Office,2.23,0
Hard Disk / SSD,Seagate,Pune/Nashik,2021,5,3.93,8.1,Hot,Harsh,Direct Grid,Regular,Light,0.35,0
Hard Disk / SSD,Samsung,Konkan/Mumbai,2022,5,3.12,12.1,Normal,Normal,UPS Protected,Regular,Light,1.22,0
Projector,Epson,Pune/Nashik,2025,5,0.45,4.6,Normal,Clean,UPS Protected,Regular,Office,4.29,0
Washing Machine,Whirlpool,Pune/Nashik,2015,10,9.63,1.9,Hot,Clean,Direct Grid,Occasional,Office,0.0,1
Laptop,Dell,Vidarbha/Marathwada,2020,5,5.07,9.6,Normal,Harsh,Direct Grid,Regular,Light,0.0,1
Refrigerator,Godrej,Pune/Nashik,2015,12,9.96,5.6,Normal,Normal,UPS Protected,Regular,Light,0.2,0
Motherboard,Gigabyte,Konkan/Mumbai,2020,8,4.75,2.3,Normal,Normal,Direct Grid,None,Office,2.83,0
Microwave,LG,Vidarbha/Marathwada,2023,8,2.01,13.0,Normal,Normal,Direct Grid,Regular,Heavy,5.85,0
Laptop,Acer,Vidarbha/Marathwada,2018,5,6.79,12.8,Hot,Harsh,UPS Protected,None,Heavy,0.0,1
Camera,Canon,Vidarbha/Marathwada,2024,5,0.53,10.6,Hot,Harsh,Direct Grid,Occasional,Light,4.36,0
Battery,Exide,Pune/Nashik,2024,3,0.87,5.8,Normal,Normal,UPS Protected,None,Office,1.91,0
Microwave,Samsung,Konkan/Mumbai,2019,8,6.19,4.1,Normal,Clean,Direct Grid,Occasional,Heavy,1.43,0
Washing Machine,LG,Vidarbha/Marathwada,2024,10,0.85,5.4,Hot,Harsh,UPS Protected,Regular,Office,8.84,0
Camera,Logitech,Vidarbha/Marathwada,2020,5,4.56,13.4,Normal,Harsh,Direct Grid,None,Office,0.0,1
Mouse,Dell,Pune/Nashik,2024,3,0.7,4.7,Normal,Clean,UPS Protected,Occasional,Light,2.29,0
Microwave,Samsung,Konkan/Mumbai,2025,8,0.14,2.4,Normal,Clean,Direct Grid,Occasional,Office,7.75,0
Motherboard,Gigabyte,Konkan/Mumbai,2020,8,5.15,1.3,Normal,Harsh,UPS Protected,Occasional,Office,2.09,0
Battery,Amaron,Pune/Nashik,2021,3,3.94,4.7,Normal,Harsh,UPS Protected,Occasional,Office,0.0,1
Computer,HP,Pune/Nashik,2017,6,7.9,5.4,Hot,Clean,Direct Grid,Occasional,Light,0.0,1
Computer,Lenovo,Vidarbha/Marathwada,2017,6,7.56,1.7,Normal,Normal,Frequent Outages,Occasional,Light,0.0,1
Battery,Generic,Konkan/Mumbai,2022,3,2.52,4.4,Cool,Normal,Frequent Outages,Occasional,Heavy,0.23,0
Monitor,Samsung,Vidarbha/Marathwada,2025,7,0.28,4.9,Hot,Normal,Direct Grid,None,Light,6.46,0
